created_at,sensor1,sensor2,sensor3,sensor4,value
2024-02-19T20:27:25+00:00,042C0000,04640000,04450000,014C0000,0
2024-02-19T20:27:42+00:00,03340000,04880000,04890000,04440000,0
2024-02-19T20:28:05+00:00,04460000,05100000,05570000,04890000,0
2024-02-19T20:28:33+00:00,04CF0000,05100000,05DF0000,05110000,0
2024-02-19T20:28:50+00:00,04CF0000,05100000,06240000,05560000,0
2024-02-19T20:29:06+00:00,05580000,05990000,05DF0000,05560000,0
2024-02-19T20:29:23+00:00,059C0000,05DD0000,05DF0000,05560000,0
2024-02-19T20:29:57+00:00,05E00000,05DD0000,05DF0000,059A0000,0
2024-02-19T20:30:31+00:00,059C0000,05DD0000,06240000,05560000,0
2024-02-19T20:30:47+00:00,059C0000,05990000,06240000,059A0000,0
2024-02-19T20:31:04+00:00,059C0000,05DD0000,06240000,05560000,0
2024-02-19T20:31:21+00:00,059C0000,05DD0000,06240000,05560000,0
2024-02-19T20:31:38+00:00,059C0000,05DD0000,06240000,05560000,0
2024-02-19T20:31:55+00:00,05E00000,05DD0000,06240000,059A0000,0
2024-02-19T20:32:12+00:00,05E00000,05990000,06240000,05560000,0
2024-02-19T20:32:29+00:00,059C0000,05DD0000,06240000,059A0000,0
2024-02-19T20:32:46+00:00,059C0000,05990000,05DF0000,05560000,0
2024-02-19T20:33:03+00:00,05E00000,05DD0000,05DF0000,05560000,0
2024-02-19T20:33:20+00:00,05130000,05DD0000,05DF0000,059A0000,0
2024-02-19T20:33:37+00:00,05580000,05DD0000,06240000,05560000,0
2024-02-19T20:33:59+00:00,059C0000,05DD0000,06240000,05560000,0
2024-02-19T20:34:19+00:00,059C0000,05990000,06240000,05560000,0
2024-02-19T20:34:44+00:00,059C0000,05DD0000,06240000,059A0000,0
2024-02-19T20:35:01+00:00,05E00000,05990000,06240000,05560000,0
2024-02-19T20:35:18+00:00,059C0000,05990000,05DF0000,059A0000,0
2024-02-19T20:35:36+00:00,059C0000,05990000,06240000,05560000,0
2024-02-19T20:35:52+00:00,059C0000,05990000,05DF0000,05560000,0
2024-02-19T20:36:09+00:00,059C0000,05DD0000,06240000,05560000,0
2024-02-19T20:36:26+00:00,05E00000,05990000,05DF0000,05560000,0
2024-02-19T20:36:43+00:00,05E00000,05990000,06680000,05560000,0
2024-02-19T20:37:00+00:00,059C0000,05DD0000,05DF0000,059A0000,0
2024-02-19T20:37:17+00:00,059C0000,05990000,05DF0000,05110000,0
2024-02-19T22:35:14+00:00,00960000,06210000,06240000,059A0000,1
2024-02-19T22:35:32+00:00,07BF0000,06660000,06AC0000,05DE0000,1
2024-02-19T22:36:00+00:00,08480000,06EE0000,07790000,06EF0000,1
2024-02-19T22:36:17+00:00,08480000,06EE0000,059B0000,06AB0000,1
2024-02-19T22:36:38+00:00,08480000,07320000,08020000,059A0000,1
2024-02-19T22:37:07+00:00,07BF0000,06AA0000,06680000,07780000,1
2024-02-19T22:37:24+00:00,08040000,07320000,07BE0000,06EF0000,1
