created_at,sensor1,sensor2,sensor3,sensor4,value
2024-02-20T14:15:14+00:00,420,458,2118,1844,0
2024-02-20T14:15:31+00:00,1846,1842,1503,1434,0
2024-02-20T14:15:48+00:00,1299,1501,1572,1434,0
2024-02-20T14:16:10+00:00,1299,1638,1572,1502,0
2024-02-20T14:16:39+00:00,1710,1706,1777,1570,0
2024-02-20T14:16:55+00:00,1280,1706,1708,1570,0
2024-02-20T14:17:12+00:00,1641,1569,1982,1707,0
2024-02-20T14:17:28+00:00,1846,1706,2050,1844,0
2024-02-20T14:17:46+00:00,1573,1842,1640,1434,0
2024-02-20T14:18:02+00:00,1641,1706,1982,1775,0
2024-02-20T14:18:19+00:00,1436,1706,1367,1297,0
2024-02-20T14:18:36+00:00,1641,1433,1640,1434,0
2024-02-20T14:18:53+00:00,1299,1911,1913,1775,0
2024-02-20T14:19:10+00:00,1280,1774,1708,1639,0
2024-02-20T14:19:35+00:00,1436,1774,1777,1707,0
2024-02-20T14:20:00+00:00,1436,1569,1708,1570,0
2024-02-20T14:20:17+00:00,1280,1501,1708,1502,0
2024-02-20T14:20:34+00:00,1368,1433,1708,1502,0
2024-02-20T14:20:56+00:00,1368,1501,1640,1434,0
2024-02-20T14:21:25+00:00,1368,1569,1708,1502,0
2024-02-20T14:21:42+00:00,1280,1569,1708,1502,0
2024-02-20T14:21:59+00:00,1436,1433,1640,1502,0
2024-02-20T14:22:16+00:00,1368,1569,1572,1570,0
2024-02-20T14:22:37+00:00,1436,1433,1640,1434,0
2024-02-20T14:23:07+00:00,1280,1569,1640,1502,0
2024-02-20T14:23:24+00:00,1280,1569,1640,1434,0
2024-02-20T14:23:41+00:00,1436,1638,1640,1502,0
2024-02-20T14:23:57+00:00,1368,1569,1640,1434,0
2024-02-20T14:24:14+00:00,1280,1501,1640,1502,0
2024-02-20T14:24:31+00:00,1573,1569,1708,1502,0
2024-02-20T14:24:48+00:00,1573,1638,1708,1502,0
2024-02-20T14:25:05+00:00,1231,1638,1708,1502,0
2024-02-20T14:25:22+00:00,1436,1433,1708,1502,0
2024-02-20T14:25:39+00:00,1573,1638,1640,1502,0
2024-02-20T14:26:04+00:00,1573,1842,1777,1434,0
2024-02-20T14:26:29+00:00,1710,1706,1367,1502,0
2024-02-20T14:26:46+00:00,1641,1842,1777,1229,0
2024-02-20T14:27:07+00:00,1573,1774,1777,1502,0
2024-02-20T14:27:36+00:00,1710,1707,1845,1639,0
2024-02-20T14:27:52+00:00,1641,1774,1845,1639,0
2024-02-20T14:28:09+00:00,1710,1842,1845,1707,0
2024-02-20T14:28:26+00:00,1641,1706,1845,1707,0
2024-02-20T14:28:43+00:00,1778,1774,1845,1775,0
2024-02-20T14:28:59+00:00,1846,1706,1913,1707,0
2024-02-20T14:29:16+00:00,1710,1501,1913,1707,0
2024-02-20T14:29:33+00:00,1710,1774,1845,1707,0
2024-02-20T14:29:50+00:00,1778,1911,1845,1639,0
2024-02-20T14:30:07+00:00,1778,1842,1913,1707,0
2024-02-20T15:10:25+00:00,824,6,251,170,1
2024-02-20T15:10:52+00:00,342,0,68,0,1
2024-02-20T15:11:15+00:00,410,0,68,0,1
2024-02-20T15:11:33+00:00,342,0,73,0,1
2024-02-20T15:11:49+00:00,273,0,683,0,1
2024-02-20T15:12:06+00:00,136,0,1572,546,1
2024-02-20T15:12:23+00:00,205,68,1640,1366,1
